多
多少
几
哪
哪里
哪些
什么
谁
怎么
我们
你们
他们
她们
这儿
那儿
这里
那里
这些
那些
别的
有的
多久
为什么
怎么样
怎样
大家
它
它们
咱
咱们
自己
那么
那样
这么
这样
各
各位
各种
每
任何
人家
